2014-15 Teacher Salaries Report,,,,
,,,,
DISTRICT,ORGCODE,Salary Totals,Average Salary,FTE Count
Acton-Boxborough,06000000,$29,231,455 ,$80,750 ,362
Adams-Cheshire,06030000,$6,778,249 ,$67,378 ,101
Amherst-Pelham,06050000,$9,816,394 ,$80,003 ,123
Ashburnham-Westminster,06100000,$10,725,833 ,$68,799 ,156
Athol-Royalston,06150000,$6,505,576 ,$63,407 ,103
Ayer Shirley School District,06160000,$8,313,948 ,$60,863 ,137
Berkshire Hills,06180000,$8,100,013 ,$71,618 ,113
Berlin-Boylston,06200000,$2,852,696 ,$62,286 ,46
Blackstone-Millville,06220000,$8,408,176 ,$61,779 ,136
Bridgewater-Raynham,06250000,$26,985,881 ,$82,349 ,328
Chesterfield-Goshen,06320000,$953,818 ,$61,142 ,16
Central Berkshire,06350000,$9,712,824 ,$69,081 ,141
Concord-Carlisle,06400000,$9,468,759 ,$100,731 ,94
Dennis-Yarmouth,06450000,$20,080,993 ,$67,658 ,297
Dighton-Rehoboth,06500000,$14,914,223 ,$67,485 ,221
Dover-Sherborn,06550000,$9,763,574 ,$94,698 ,103
Dudley-Charlton Reg,06580000,$18,285,518 ,$66,931 ,273
Nauset,06600000,$10,900,076 ,$80,325 ,136
Farmington River Reg,06620000,$760,164 ,$51,018 ,15
Freetown-Lakeville,06650000,$14,126,911 ,$74,984 ,188
Frontier,06700000,$3,451,949 ,$65,008 ,53
Gateway,06720000,$4,975,095 ,$57,985 ,86
Groton-Dunstable,06730000,$12,847,541 ,$78,291 ,164
Gill-Montague,06740000,$5,375,637 ,$58,115 ,93
Hamilton-Wenham,06750000,$10,773,032 ,$73,336 ,147
Hampden-Wilbraham,06800000,$16,001,008 ,$71,211 ,225
Hampshire,06830000,$4,677,738 ,$71,416 ,66
Hawlemont,06850000,$575,405 ,$55,327 ,10
King Philip,06900000,$8,781,464 ,$69,091 ,127
Lincoln-Sudbury,06950000,$11,277,688 ,$91,243 ,124
Manchester Essex Regional,06980000,$9,171,242 ,$72,385 ,127
Martha's Vineyard,07000000,$6,741,089 ,$88,815 ,76
Masconomet,07050000,$11,951,229 ,$94,253 ,127
Mendon-Upton,07100000,$12,321,220 ,$75,823 ,163
Monomoy Regional School District,07120000,$12,611,687 ,$71,252 ,177
Mount Greylock,07150000,$3,850,472 ,$79,391 ,49
Mohawk Trail,07170000,$5,268,019 ,$74,302 ,71
Narragansett,07200000,$6,695,952 ,$63,710 ,105
Nashoba,07250000,$18,919,145 ,$71,458 ,265
New Salem-Wendell,07280000,$569,575 ,$45,204 ,13
